DATA,LINHA,MARCA,PRODUTO,QTD.,TOTAL
02/01/2020,AUDIO E VIDEO,MULTILASER,MULTILASER - AUTO RADIO P3214 BLUETOOTH TALK,1,"149,90"
02/01/2020,AUDIO E VIDEO,MULTILASER,MULTILASER - DVD PLAYER SP252,1,"119,90"
02/01/2020,AUDIO E VIDEO,LG,LG - TV 20 MONITOR MT49D,1,"700,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A30 A305 64GB PRETO,1,"1.195,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY J4 CORE J410 PRETO,1,"650,00"
02/01/2020,CELULARES,ALCATEL,ALCATEL - PIXI 4 OT 4034E COLORS CLARO,1,"285,00"
02/01/2020,AUDIO E VIDEO,PANASONIC,PANASONIC - TV 32 TC32FS500B DUAL CORE WI-FI,2,"1.798,00"
02/01/2020,CELULARES,SEMP,SEMP - CELULAR DIG GO3C PRETO,1,"285,00"
02/01/2020,CELULARES,RED MOBILE,RED MOBILE - CELULAR RED MOBILE MEGA M010F PRETO VERMELHO,1,"199,90"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A20 32GB A205 PRETO,1,"999,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A10 32GB A105 PRETO,2,"1.798,00"
02/01/2020,CELULARES,POSITIVO,POSITIVO - CELULAR P25 PRETO,1,"89,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY J2 CORE J260 PRATA,1,"599,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY J4 CORE J410 COBRE,3,"2.097,00"
02/01/2020,AUDIO E VIDEO,JBL,JBL - BOX GO 2 MINT (VERDE),1,"199,00"
02/01/2020,AUDIO E VIDEO,JBL,JBL - BOX GO 2 PRETO,1,"199,00"
02/01/2020,CELULARES,RED MOBILE,RED MOBILE - CELULAR RED MOBILE PRIME 2.4 M012F DOURADO,1,"175,91"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A20 32GB A205 PRETO,1,"1.099,00"
02/01/2020,CELULARES,POSITIVO,POSITIVO - CELULAR P25 PRETO,2,"178,00"
02/01/2020,CELULARES,POSITIVO,POSITIVO - TWIST MINI S431 GRAFITE CLARO,1,"299,00"
02/01/2020,CELULARES,MULTILASER,MULTILASER - CEL MS50L P9051 GRAFITE,1,"399,00"
02/01/2020,AUDIO E VIDEO,JBL,JBL - BOX GO 2 PRETO,1,"199,00"
02/01/2020,AUDIO E VIDEO,MULTILASER,MULTILASER - DVD PLAYER SP252,1,"119,90"
02/01/2020,CELULARES,SEMP,SEMP - CELULAR DIG GO1C PRETO,1,"99,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A10 32GB A105 PRETO,1,"899,00"
02/01/2020,CELULARES,POSITIVO,POSITIVO - CELULAR S509 TWIST 2 FIT CINZA,1,"399,00"
02/01/2020,CELULARES,LG,LG - CELULAR K12+ X420BMW PLATINA,1,"899,00"
02/01/2020,CELULARES,DL,DL - CELULAR YC335 DUAL AZUL,2,"240,00"
02/01/2020,AUDIO E VIDEO,MULTILASER,MULTILASER - CAM. ATRIO DC185 WI-FI 4K,1,"499,00"
02/01/2020,CELULARES,SEMP,SEMP - CELULAR DIG GO1C PRETO,1,"99,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A10 32GB A105 PRETO,1,"899,00"
02/01/2020,CELULARES,MOTOROLA,MOTOROLA - MOTO ONE ACTION 128GB XT2013 BRANCO POLAR,1,"1.799,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A30 A305 AZUL,1,"1.299,00"
02/01/2020,CELULARES,LG,LG - CELULAR K12+ X420BMW PLATINA,1,"899,00"
02/01/2020,AUDIO E VIDEO,EPSON,EPSON-PROJETOR POWELITE S41,1,"2.499,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A30 A305 64GB PRETO,1,"1.299,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A10 32GB A105 PRETO,2,"1.798,00"
02/01/2020,CELULARES,POSITIVO,POSITIVO - CELULAR P25 PRETO,1,"89,00"
02/01/2020,CELULARES,MOTOROLA,MOTOROLA - MOTO ONE XT1941 PRETO,1,"1.399,00"
02/01/2020,CELULARES,MULTILASER,MULTILASER - CEL MS45 4G P9062 PTO,1,"358,00"
02/01/2020,CELULARES,POSITIVO,POSITIVO - TWIST S511 CINZA CLARO,1,"405,00"
02/01/2020,AUDIO E VIDEO,MULTILASER,MULTILASER - CAIXA SPEAKER PULSE SP295,1,"379,00"
02/01/2020,AUDIO E VIDEO,LENOXX,LENOXX - HOME HT723 RADIO AM FM KARAOKE,1,"379,00"
02/01/2020,CELULARES,DL,DL - CELULAR YC130 DUOS PRETO SC,1,"169,00"
